IP, Protocol, Frequency
10.10.10.1,ICMP,60
10.10.10.1,UDP,1166
10.10.10.30,ICMP,1
10.10.10.30,TCP,9233
10.10.10.30,UDP,30
103.239.8.22,UDP,7
107.170.242.27,UDP,8
129.250.35.250,UDP,7
129.250.35.251,UDP,14
129.70.132.33,UDP,7
130.211.93.93,TCP,4176
131.234.137.24,UDP,8
136.243.177.133,UDP,6
138.201.20.231,UDP,7
141.82.25.202,UDP,6
144.76.115.197,UDP,7
144.76.172.53,UDP,11
146.185.139.19,UDP,6
148.251.133.44,UDP,7
148.251.154.36,UDP,6
162.13.31.14,TCP,460
163.172.35.115,UDP,12
174.136.103.130,UDP,7
176.58.109.199,UDP,6
176.9.1.211,UDP,7
176.9.102.215,UDP,7
176.9.104.147,UDP,6
176.9.253.75,UDP,8
176.9.92.196,UDP,7
178.63.135.195,UDP,7
178.63.9.110,UDP,8
185.11.138.90,UDP,7
188.112.42.5,UDP,8
188.166.163.79,UDP,7
188.40.99.69,UDP,7
191.233.81.105,UDP,7
193.170.62.252,UDP,8
193.175.73.151,UDP,12
193.6.176.19,UDP,7
195.228.45.175,UDP,7
195.46.37.22,UDP,7
201.217.3.86,UDP,6
213.172.105.106,UDP,7
217.114.59.3,UDP,7
217.147.208.1,UDP,6
224.0.0.22,IGMP,116
224.0.0.251,UDP,267
239.255.255.250,UDP,312
255.255.255.255,UDP,40
37.120.173.240,UDP,8
37.187.17.67,UDP,7
37.187.7.160,UDP,7
41.73.42.10,UDP,7
45.127.112.2,UDP,7
45.79.111.114,UDP,6
46.163.88.237,UDP,13
46.165.212.205,UDP,8
46.4.103.35,UDP,8
46.4.19.10,UDP,6
46.4.24.238,UDP,6
46.4.88.180,UDP,11
5.100.133.221,UDP,10
5.135.3.88,UDP,7
5.79.62.93,TCP,480
5.9.122.148,UDP,8
5.9.186.220,UDP,7
5.9.39.18,UDP,19
51.255.197.148,UDP,7
52.59.88.68,UDP,5
74.120.8.2,UDP,7
74.125.34.157,TCP,1040
78.46.107.140,UDP,7
78.46.189.152,UDP,6
78.46.93.106,UDP,13
80.92.126.65,UDP,7
82.200.209.236,UDP,7
85.214.194.162,UDP,6
85.214.250.188,UDP,7
85.220.190.246,UDP,8
85.25.105.106,UDP,7
85.25.84.166,UDP,8
85.93.216.115,UDP,7
87.106.126.46,UDP,17
87.118.124.35,UDP,9
91.121.165.146,UDP,6
91.202.42.82,UDP,6
91.224.149.41,UDP,6
92.247.168.106,UDP,7
94.23.210.194,UDP,7
95.81.173.155,UDP,6
96.126.105.86,UDP,5

IP address, Port Number, Port Designation, Frequency: 
10.10.10.1,53,DNS,1166
10.10.10.30,38447,None,9263
103.239.8.22,123,NTP,7
107.170.242.27,123,NTP,8
129.250.35.250,123,NTP,7
129.250.35.251,123,NTP,14
129.70.132.33,123,NTP,7
130.211.93.93,80,HTTP,4176
131.234.137.24,123,NTP,8
136.243.177.133,123,NTP,6
138.201.20.231,123,NTP,7
141.82.25.202,123,NTP,6
144.76.115.197,123,NTP,7
144.76.172.53,123,NTP,11
146.185.139.19,123,NTP,6
148.251.133.44,123,NTP,7
148.251.154.36,123,NTP,6
162.13.31.14,80,HTTP,460
163.172.35.115,123,NTP,12
174.136.103.130,123,NTP,7
176.58.109.199,123,NTP,6
176.9.1.211,123,NTP,7
176.9.102.215,123,NTP,7
176.9.104.147,123,NTP,6
176.9.253.75,123,NTP,8
176.9.92.196,123,NTP,7
178.63.135.195,123,NTP,7
178.63.9.110,123,NTP,8
185.11.138.90,123,NTP,7
188.112.42.5,123,NTP,8
188.166.163.79,123,NTP,7
188.40.99.69,123,NTP,7
191.233.81.105,123,NTP,7
193.170.62.252,123,NTP,8
193.175.73.151,123,NTP,12
193.6.176.19,123,NTP,7
195.228.45.175,123,NTP,7
195.46.37.22,123,NTP,7
201.217.3.86,123,NTP,6
213.172.105.106,123,NTP,7
217.114.59.3,123,NTP,7
217.147.208.1,123,NTP,6
224.0.0.251,5353,mDNS,267
239.255.255.250,1900,SSDP,312
255.255.255.255,67,DHCP,40
37.120.173.240,123,NTP,8
37.187.17.67,123,NTP,7
37.187.7.160,123,NTP,7
41.73.42.10,123,NTP,7
45.127.112.2,123,NTP,7
45.79.111.114,123,NTP,6
46.163.88.237,123,NTP,13
46.165.212.205,123,NTP,8
46.4.103.35,123,NTP,8
46.4.19.10,123,NTP,6
46.4.24.238,123,NTP,6
46.4.88.180,123,NTP,11
5.100.133.221,123,NTP,10
5.135.3.88,123,NTP,7
5.79.62.93,80,HTTP,480
5.9.122.148,123,NTP,8
5.9.186.220,123,NTP,7
5.9.39.18,123,NTP,19
51.255.197.148,123,NTP,7
52.59.88.68,123,NTP,5
74.120.8.2,123,NTP,7
74.125.34.157,80,HTTP,1040
78.46.107.140,123,NTP,7
78.46.189.152,123,NTP,6
78.46.93.106,123,NTP,13
80.92.126.65,123,NTP,7
82.200.209.236,123,NTP,7
85.214.194.162,123,NTP,6
85.214.250.188,123,NTP,7
85.220.190.246,123,NTP,8
85.25.105.106,123,NTP,7
85.25.84.166,123,NTP,8
85.93.216.115,123,NTP,7
87.106.126.46,123,NTP,17
87.118.124.35,123,NTP,9
91.121.165.146,123,NTP,6
91.202.42.82,123,NTP,6
91.224.149.41,123,NTP,6
92.247.168.106,123,NTP,7
94.23.210.194,123,NTP,7
95.81.173.155,123,NTP,6
96.126.105.86,123,NTP,5
