IP, Protocol, Frequency,
10.10.10.1,UDP,19,
10.10.10.127,TCP,424,
10.10.10.127,UDP,3,
10.10.10.30,TCP,26,
192.168.0.1,UDP,1,
224.0.0.1,IGMP,37,
255.255.255.255,UDP,32,
81.14.202.21,UDP,25,
,,,
IP address, Port Number, Port Designation, Frequency: 
10.10.10.1,53,DNS,19
10.10.10.127,23272,None,3
10.10.10.127,49961,None,12
10.10.10.127,49980,None,20
10.10.10.127,50077,None,22
10.10.10.127,50127,None,20
10.10.10.127,50138,None,20
10.10.10.127,50142,None,22
10.10.10.127,50154,None,22
10.10.10.127,50165,None,20
10.10.10.127,50178,None,20
10.10.10.127,50191,None,20
10.10.10.127,50203,None,22
10.10.10.127,50222,None,22
10.10.10.127,50234,None,20
10.10.10.127,50254,None,20
10.10.10.127,50274,None,20
10.10.10.127,50280,None,20
10.10.10.127,50337,None,22
10.10.10.127,50443,None,20
10.10.10.127,50477,None,20
10.10.10.127,50498,None,20
10.10.10.127,50529,None,20
10.10.10.30,33957,None,2
10.10.10.30,34274,None,2
10.10.10.30,35262,None,2
10.10.10.30,41566,None,2
10.10.10.30,42104,None,2
10.10.10.30,43201,None,2
10.10.10.30,44854,None,2
10.10.10.30,45869,None,2
10.10.10.30,49127,None,2
10.10.10.30,52361,None,2
10.10.10.30,55095,None,2
10.10.10.30,58556,None,2
10.10.10.30,58803,None,2
192.168.0.1,53,DNS,1
192.168.0.1,67,DHCP,32
81.14.202.21,123,NTP,25
