IP, Protocol, Frequency
10.10.10.1,UDP,51
106.185.48.114,UDP,1
129.6.15.28,UDP,4
129.6.15.29,UDP,1
144.76.172.53,UDP,1
157.7.208.12,UDP,1
159.203.31.244,UDP,3
173.71.69.90,UDP,1
192.248.1.162,UDP,1
193.188.204.101,UDP,1
199.19.95.142,UDP,1
202.112.1.34,UDP,9
202.112.10.60,UDP,9
202.112.29.82,UDP,2
202.118.1.130,UDP,4
206.108.0.132,UDP,1
213.141.154.170,UDP,1
217.79.179.106,UDP,1
255.255.255.255,UDP,41
37.187.104.44,UDP,1
52.18.200.165,TCP,237
52.209.224.132,TCP,68
52.49.107.41,TCP,79
52.49.65.150,TCP,103
82.69.193.46,UDP,1
91.121.165.146,UDP,1

IP address, Port Number, Port Designation, Frequency: 
10.10.10.1,53,DNS,51 
106.185.48.114,123,NTP,1 
129.6.15.28,123,NTP,4 
129.6.15.29,123,NTP,1 
144.76.172.53,123,NTP,1 
157.7.208.12,123,NTP,1 
159.203.31.244,123,NTP,3 
173.71.69.90,123,NTP,1 
192.248.1.162,123,NTP,1 
193.188.204.101,123,NTP,1 
199.19.95.142,123,NTP,1 
202.112.1.34,123,NTP,9 
202.112.10.60,123,NTP,9 
202.112.29.82,123,NTP,2 
202.118.1.130,123,NTP,4 
206.108.0.132,123,NTP,1 
213.141.154.170,123,NTP,1 
217.79.179.106,123,NTP,1 
255.255.255.255,67,DHCP,41 
37.187.104.44,123,NTP,1 
52.18.200.165,50443,None,237 
52.209.224.132,50443,None,68 
52.49.107.41,50443,None,79 
52.49.65.150,50443,None,103 
82.69.193.46,123,NTP,1 
91.121.165.146,123,NTP,1 
